redline,status,detail
只做 phase63/L1-G1 单几何,PASS,无多几何渲染
只做 P3 local refinement 受控规模(921 新渲染单位),PASS,非零 roll 856 < 2000; 半度 roll0 65; 合计 921
未训练/无 roll-aware 训练,PASS,无训练脚本调用
未改旧脚本,PASS,仅新增派生 wrapper，driver 只读复用
未改旧结果目录 10-20,PASS,只读 fullrun/P2; 输出仅写 21 号包
整数点 roll=0 未重渲,PASS,整数点 roll=0 复用 01_fullrun
半度点 roll=0 不静默缺失,PASS,半度点 roll=0 明确标注 21_pack 新渲染并纳入 manifest
未改姿态网格步长定义/OBS_GEOMETRIES/split/backbone/超参,PASS,"wrapper 仅覆盖姿态子集与输出目录; 2.5度为 P3 新增局部加密, 不改旧 5 度网格"
未启动 P4,PASS,仅 P3; P4 候选仅供裁决参考
未启动 R128/路线二三四/T3/L2,PASS,无相关调用
未写成果区/未生成Codex审阅/未改CLAUDE.md,PASS,输出限 21 号包 + 004 报告
未把 P3 写成三轴小项目完成,PASS,summary 明确 P3 为局部加密验证，非三轴最终结论/真实反演系统
最亮姿态未写成最优观测/反演姿态,PASS,brightness ≠ information 边界在 2.5度加密下维持
未声称真实未知目标反演系统,PASS,"model-known simulated, phase63/L1-G1 可观测性 proxy"
neighbor_contrast_ypr 未升格为模型级信息量,PASS,明确标注 smoke/proxy 级，P-DB/margin/entropy 需另行阶段门
