source,protocol,geometry_group,mode,degrade_level,split,select,path,n_samples,missing_fields,field_complete
R115-clean(11_l1m2),P-INT,G1,ocs_only,clean,val,final,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G1_ocs_only_seed42\samples_val_final.npz,259,,True
R115-clean(11_l1m2),P-INT,G1,ocs_only,clean,val,best,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G1_ocs_only_seed42\samples_val_best.npz,259,,True
R115-clean(11_l1m2),P-INT,G1,ocs_only,clean,test,final,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G1_ocs_only_seed42\samples_test_final.npz,296,,True
R115-clean(11_l1m2),P-INT,G1,ocs_only,clean,test,best,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G1_ocs_only_seed42\samples_test_best.npz,296,,True
R115-clean(11_l1m2),P-INT,G1,image_only,clean,val,final,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G1_image_only_seed42\samples_val_final.npz,259,,True
R115-clean(11_l1m2),P-INT,G1,image_only,clean,val,best,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G1_image_only_seed42\samples_val_best.npz,259,,True
R115-clean(11_l1m2),P-INT,G1,image_only,clean,test,final,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G1_image_only_seed42\samples_test_final.npz,296,,True
R115-clean(11_l1m2),P-INT,G1,image_only,clean,test,best,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G1_image_only_seed42\samples_test_best.npz,296,,True
R115-clean(11_l1m2),P-INT,G1,joint,clean,val,final,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G1_joint_seed42\samples_val_final.npz,259,,True
R115-clean(11_l1m2),P-INT,G1,joint,clean,val,best,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G1_joint_seed42\samples_val_best.npz,259,,True
R115-clean(11_l1m2),P-INT,G1,joint,clean,test,final,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G1_joint_seed42\samples_test_final.npz,296,,True
R115-clean(11_l1m2),P-INT,G1,joint,clean,test,best,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G1_joint_seed42\samples_test_best.npz,296,,True
R115-clean(11_l1m2),P-INT,G3,ocs_only,clean,val,final,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G3_ocs_only_seed42\samples_val_final.npz,259,,True
R115-clean(11_l1m2),P-INT,G3,ocs_only,clean,val,best,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G3_ocs_only_seed42\samples_val_best.npz,259,,True
R115-clean(11_l1m2),P-INT,G3,ocs_only,clean,test,final,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G3_ocs_only_seed42\samples_test_final.npz,296,,True
R115-clean(11_l1m2),P-INT,G3,ocs_only,clean,test,best,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G3_ocs_only_seed42\samples_test_best.npz,296,,True
R115-clean(11_l1m2),P-INT,G3,image_only,clean,val,final,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G3_image_only_seed42\samples_val_final.npz,259,,True
R115-clean(11_l1m2),P-INT,G3,image_only,clean,val,best,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G3_image_only_seed42\samples_val_best.npz,259,,True
R115-clean(11_l1m2),P-INT,G3,image_only,clean,test,final,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G3_image_only_seed42\samples_test_final.npz,296,,True
R115-clean(11_l1m2),P-INT,G3,image_only,clean,test,best,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G3_image_only_seed42\samples_test_best.npz,296,,True
R115-clean(11_l1m2),P-INT,G3,joint,clean,val,final,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G3_joint_seed42\samples_val_final.npz,259,,True
R115-clean(11_l1m2),P-INT,G3,joint,clean,val,best,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G3_joint_seed42\samples_val_best.npz,259,,True
R115-clean(11_l1m2),P-INT,G3,joint,clean,test,final,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G3_joint_seed42\samples_test_final.npz,296,,True
R115-clean(11_l1m2),P-INT,G3,joint,clean,test,best,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G3_joint_seed42\samples_test_best.npz,296,,True
R115-clean(11_l1m2),P-INT,G5,ocs_only,clean,val,final,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G5_ocs_only_seed42\samples_val_final.npz,259,,True
R115-clean(11_l1m2),P-INT,G5,ocs_only,clean,val,best,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G5_ocs_only_seed42\samples_val_best.npz,259,,True
R115-clean(11_l1m2),P-INT,G5,ocs_only,clean,test,final,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G5_ocs_only_seed42\samples_test_final.npz,296,,True
R115-clean(11_l1m2),P-INT,G5,ocs_only,clean,test,best,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G5_ocs_only_seed42\samples_test_best.npz,296,,True
R115-clean(11_l1m2),P-INT,G5,image_only,clean,val,final,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G5_image_only_seed42\samples_val_final.npz,259,,True
R115-clean(11_l1m2),P-INT,G5,image_only,clean,val,best,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G5_image_only_seed42\samples_val_best.npz,259,,True
R115-clean(11_l1m2),P-INT,G5,image_only,clean,test,final,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G5_image_only_seed42\samples_test_final.npz,296,,True
R115-clean(11_l1m2),P-INT,G5,image_only,clean,test,best,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G5_image_only_seed42\samples_test_best.npz,296,,True
R115-clean(11_l1m2),P-INT,G5,joint,clean,val,final,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G5_joint_seed42\samples_val_final.npz,259,,True
R115-clean(11_l1m2),P-INT,G5,joint,clean,val,best,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G5_joint_seed42\samples_val_best.npz,259,,True
R115-clean(11_l1m2),P-INT,G5,joint,clean,test,final,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G5_joint_seed42\samples_test_final.npz,296,,True
R115-clean(11_l1m2),P-INT,G5,joint,clean,test,best,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-INT_G5_joint_seed42\samples_test_best.npz,296,,True
R115-clean(11_l1m2),P-EXT,G1,ocs_only,clean,val,final,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-EXT_G1_ocs_only_seed42\samples_val_final.npz,259,,True
R115-clean(11_l1m2),P-EXT,G1,ocs_only,clean,val,best,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-EXT_G1_ocs_only_seed42\samples_val_best.npz,259,,True
R115-clean(11_l1m2),P-EXT,G1,ocs_only,clean,test,final,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-EXT_G1_ocs_only_seed42\samples_test_final.npz,296,,True
R115-clean(11_l1m2),P-EXT,G1,ocs_only,clean,test,best,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-EXT_G1_ocs_only_seed42\samples_test_best.npz,296,,True
R115-clean(11_l1m2),P-EXT,G3,ocs_only,clean,val,final,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-EXT_G3_ocs_only_seed42\samples_val_final.npz,259,,True
R115-clean(11_l1m2),P-EXT,G3,ocs_only,clean,val,best,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-EXT_G3_ocs_only_seed42\samples_val_best.npz,259,,True
R115-clean(11_l1m2),P-EXT,G3,ocs_only,clean,test,final,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-EXT_G3_ocs_only_seed42\samples_test_final.npz,296,,True
R115-clean(11_l1m2),P-EXT,G3,ocs_only,clean,test,best,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-EXT_G3_ocs_only_seed42\samples_test_best.npz,296,,True
R115-clean(11_l1m2),P-EXT,G5,ocs_only,clean,val,final,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-EXT_G5_ocs_only_seed42\samples_val_final.npz,259,,True
R115-clean(11_l1m2),P-EXT,G5,ocs_only,clean,val,best,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-EXT_G5_ocs_only_seed42\samples_val_best.npz,259,,True
R115-clean(11_l1m2),P-EXT,G5,ocs_only,clean,test,final,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-EXT_G5_ocs_only_seed42\samples_test_final.npz,296,,True
R115-clean(11_l1m2),P-EXT,G5,ocs_only,clean,test,best,v0.4_results\11_l1m2_multigeometry_ocs\runs\P-EXT_G5_ocs_only_seed42\samples_test_best.npz,296,,True
R116-degraded(12_l1m3),P-INT,G1,ocs_only,degraded-mild,val,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G1_ocs_only_seed42\samples_val_final.npz,259,,True
R116-degraded(12_l1m3),P-INT,G1,ocs_only,degraded-mild,val,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G1_ocs_only_seed42\samples_val_best.npz,259,,True
R116-degraded(12_l1m3),P-INT,G1,ocs_only,degraded-mild,test,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G1_ocs_only_seed42\samples_test_final.npz,296,,True
R116-degraded(12_l1m3),P-INT,G1,ocs_only,degraded-mild,test,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G1_ocs_only_seed42\samples_test_best.npz,296,,True
R116-degraded(12_l1m3),P-INT,G3,ocs_only,degraded-mild,val,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G3_ocs_only_seed42\samples_val_final.npz,259,,True
R116-degraded(12_l1m3),P-INT,G3,ocs_only,degraded-mild,val,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G3_ocs_only_seed42\samples_val_best.npz,259,,True
R116-degraded(12_l1m3),P-INT,G3,ocs_only,degraded-mild,test,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G3_ocs_only_seed42\samples_test_final.npz,296,,True
R116-degraded(12_l1m3),P-INT,G3,ocs_only,degraded-mild,test,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G3_ocs_only_seed42\samples_test_best.npz,296,,True
R116-degraded(12_l1m3),P-INT,G5,ocs_only,degraded-mild,val,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G5_ocs_only_seed42\samples_val_final.npz,259,,True
R116-degraded(12_l1m3),P-INT,G5,ocs_only,degraded-mild,val,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G5_ocs_only_seed42\samples_val_best.npz,259,,True
R116-degraded(12_l1m3),P-INT,G5,ocs_only,degraded-mild,test,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G5_ocs_only_seed42\samples_test_final.npz,296,,True
R116-degraded(12_l1m3),P-INT,G5,ocs_only,degraded-mild,test,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G5_ocs_only_seed42\samples_test_best.npz,296,,True
