category,ref_id,path,role,status
codex_review,R113,04_四路线分工区/01_路线一_fixed-roll纯仿真主干/04_Codex审阅/R113_Codex_审阅_102通过_B6判据轴闭口并放行L1M2阶段门.md,链1审阅:B6判据轴闭口,OK
codex_review,R115,04_四路线分工区/01_路线一_fixed-roll纯仿真主干/04_Codex审阅/R115_Codex_审阅_103通过_L1M2多几何OCS第一阶段正结果.md,链2审阅:clean/P-INT多几何增益,OK
codex_review,R117,04_四路线分工区/01_路线一_fixed-roll纯仿真主干/04_Codex审阅/R117_Codex_审阅_104通过_L1M3退化真实性与Mroll边界探针.md,链3审阅:degraded/M-roll,OK
codex_review,R119,04_四路线分工区/01_路线一_fixed-roll纯仿真主干/04_Codex审阅/R119_Codex_审阅_105通过_L1D3置信一致性与PDB正式评估.md,链4审阅:D3/P-DB/conformal,OK
codex_review,R120,04_四路线分工区/01_路线一_fixed-roll纯仿真主干/04_Codex审阅/R120_Codex_任务单_1C阶段性Results非正文证据包.md,本轮任务单,OK
claude_report,102,04_四路线分工区/01_路线一_fixed-roll纯仿真主干/02_Claude输出/102_1C-B6-FIX01_多折补齐与foldmatched修正_Claude执行报告.md,链1来源报告,OK
claude_report,103,04_四路线分工区/01_路线一_fixed-roll纯仿真主干/02_Claude输出/103_1C-L1M2_多几何OCS主线长程执行_Claude执行报告.md,链2来源报告,OK
claude_report,104,04_四路线分工区/01_路线一_fixed-roll纯仿真主干/02_Claude输出/104_1C-L1M3Mroll_退化真实性与roll边界探针_Claude执行报告.md,链3来源报告,OK
claude_report,105,04_四路线分工区/01_路线一_fixed-roll纯仿真主干/02_Claude输出/105_1C-L1D3_置信一致性与PDB正式评估_Claude执行报告.md,链4来源报告,OK
claude_report,106,04_四路线分工区/01_路线一_fixed-roll纯仿真主干/02_Claude输出/106_1C阶段性Results非正文证据包_Claude执行报告.md,本轮执行报告(将写入),PENDING
result_area,00,04_四路线分工区/01_路线一_fixed-roll纯仿真主干/01_成果区/00_当前主用成果/00_B6-FIX01与single-frame负结果收口说明_R113通过.md,链1成果摘要,OK
result_area,01,04_四路线分工区/01_路线一_fixed-roll纯仿真主干/01_成果区/00_当前主用成果/01_路线一C后续技术路线执行框架_R113通过.md,后续技术路线框架,OK
result_area,05,04_四路线分工区/01_路线一_fixed-roll纯仿真主干/01_成果区/00_当前主用成果/05_L1M2多几何OCS第一阶段正结果_R115通过.md,链2成果摘要,OK
result_area,06,04_四路线分工区/01_路线一_fixed-roll纯仿真主干/01_成果区/00_当前主用成果/06_L1M3退化真实性与Mroll边界探针_R117通过.md,链3成果摘要,OK
result_area,07,04_四路线分工区/01_路线一_fixed-roll纯仿真主干/01_成果区/00_当前主用成果/07_L1D3置信一致性与PDB正式评估_R119通过.md,链4成果摘要,OK
result_dir,10,v0.4_results/10_b6_circular_regression_fix01/,链1结果目录,OK
result_dir,11,v0.4_results/11_l1m2_multigeometry_ocs/,链2结果目录,OK
result_dir,12,v0.4_results/12_l1m3_degraded_mroll/,链3结果目录,OK
result_dir,13,v0.4_results/13_l1d3_confidence_pdb/,链4结果目录,OK
result_dir,14,v0.4_results/14_route1c_stage_results_pack/,本轮证据包目录,OK
data_csv,10-fm,v0.4_results/10_b6_circular_regression_fix01/b6_foldmatched_vs_p1a_best.csv,链1 fold-matched对照,OK
data_csv,10-yb,v0.4_results/10_b6_circular_regression_fix01/b6_yawblock_stratified_best.csv,链1 yaw-block分层,OK
data_csv,10-rm,v0.4_results/10_b6_circular_regression_fix01/b6_run_metrics_summary_best.csv,链1 25run汇总,OK
data_csv,11-gc,v0.4_results/11_l1m2_multigeometry_ocs/l1m2_gain_curve_G1_G3_G5.csv,链2增益曲线,OK
data_csv,11-ms,v0.4_results/11_l1m2_multigeometry_ocs/l1m2_metrics_summary_best.csv,链2指标汇总,OK
data_csv,11-pp,v0.4_results/11_l1m2_multigeometry_ocs/l1m2_pint_vs_pext_ocs_only.csv,链2 P-INT vs P-EXT,OK
data_csv,11-cp,v0.4_results/11_l1m2_multigeometry_ocs/l1m2_complementarity_summary.csv,链2互补性汇总,OK
data_json,11-gr,v0.4_results/11_l1m2_multigeometry_ocs/l1m2_geometry_registry.json,几何注册(L1-G1/G3/G5),OK
data_png,11-fig,v0.4_results/11_l1m2_multigeometry_ocs/figures/l1m2_gain_curve_best.png,链2增益曲线图,OK
data_csv,12-db,v0.4_results/12_l1m3_degraded_mroll/degraded/l1m3_degraded_metrics_summary_best.csv,链3退化best,OK
data_csv,12-df,v0.4_results/12_l1m3_degraded_mroll/degraded/l1m3_degraded_metrics_summary_final.csv,链3退化final(检查点敏感),OK
data_md,12-dg,v0.4_results/12_l1m3_degraded_mroll/degraded/l1m3_degraded_gain_and_drop_summary.md,链3增益与退化摘要,OK
data_csv,12-mb,v0.4_results/12_l1m3_degraded_mroll/mroll/mroll_metrics_summary_best.csv,链3 M-roll指标,OK
data_md,12-ms,v0.4_results/12_l1m3_degraded_mroll/mroll/mroll_roll_sensitivity_summary.md,链3 roll敏感性摘要,OK
data_json,12-me,v0.4_results/12_l1m3_degraded_mroll/mroll/mroll_eval_results.json,链3 M-roll原始结果,OK
data_csv,12-gs,v0.4_results/12_l1m3_degraded_mroll/audit/l1m2_geometry_scale_consistency.csv,量纲一致性核验,OK
data_csv,12-vr,v0.4_results/12_l1m3_degraded_mroll/audit/l1m2_val_samples_recovery_summary.csv,val samples恢复审计,OK
data_json,12-lk,v0.4_results/12_l1m3_degraded_mroll/audit/l1m2_transform_leakage_check.json,泄漏检查,OK
data_csv,13-pdb,v0.4_results/13_l1d3_confidence_pdb/pdb/l1d3_pdb_retrieval_summary.csv,链4 P-DB检索汇总,OK
data_csv,13-ec,v0.4_results/13_l1d3_confidence_pdb/consistency/l1d3_error_correlation_summary.csv,链4误差相关(互补),OK
data_csv,13-rc,v0.4_results/13_l1d3_confidence_pdb/consistency/l1d3_risk_coverage.csv,链4 risk-coverage,OK
data_csv,13-cf,v0.4_results/13_l1d3_confidence_pdb/conformal/l1d3_conformal_summary.csv,链4 conformal汇总,OK
data_csv,13-hc,v0.4_results/13_l1d3_confidence_pdb/hardcases/l1d3_hardcase_index.csv,链4 hard-case索引(1231行),OK
