figure_id,type,priority,title,binds_data_source,existing_figure,copied_into_pack,needs_redraw,redraw_note,allowed_reading,forbidden_reading
Fig.1,main,P0,"任务与协议示意图: model-known simulated multi-view OCS/image/P-DB/conformal 证据链","概念图,无单一数据源;标注引用 l1m2_geometry_registry.md + 24号主线定义",none,no,yes,"需新绘概念示意:画 model-known 前向模型→多几何 sun/view→总光度向量/图像→P-INT/P-DB/conformal;不画真实望远镜","仅示意 model-known simulated 数据流与协议关系","不得画真实望远镜验证/真实GEO反演/三轴姿态真值链路"
Fig.2,main,P0,"clean/P-INT OCS-only G1/G3/G5 单调增益曲线","v0.4_results/11_l1m2_multigeometry_ocs/l1m2_gain_curve_G1_G3_G5.csv","v0.4_results/11_l1m2_multigeometry_ocs/figures/l1m2_gain_curve_best.png","figures/copy_R115_l1m2_gain_curve_best.png",optional,"现有图可直接用;若做正式主图建议统一实验层命名L1-G1/G3/G5并加hit@30子图","OCS-only cMAE/hit@30 随几何数单调改善(G1=76.56→G5=22.77°)","不得标注为真实反演精度/所有协议成立"
Fig.3,main,P1,"degraded 下 OCS-only G1/G3/G5 增益保持与退化收缩","v0.4_results/12_l1m3_degraded_mroll/degraded/l1m3_degraded_metrics_summary_best.csv; degraded/l1m3_degraded_gain_and_drop_summary.md",none,no,yes,"需新绘:clean/mild/moderate 三条增益曲线并列,展示增益保持+优雅收缩;数据已在CSV,轻量制图","多几何增益在物理退化下保持并随退化优雅收缩","不得写成真实观测鲁棒性完成/severe退化已验证"
Fig.4,main,P0,"R119 P-DB vs neural ocs_only: P-DB检索强于回归 + 互补四象限","v0.4_results/13_l1d3_confidence_pdb/pdb/l1d3_pdb_retrieval_summary.csv; consistency/l1d3_error_correlation_summary.csv","v0.4_results/13_l1d3_confidence_pdb/figures/pdb_gain_curve.png; figures/complementarity_quadrants.png","figures/copy_R119_pdb_gain_curve.png; figures/copy_R119_complementarity_quadrants.png",optional,"两现有图可合成双panel主图;保留 simulated template retrieval 标注","P-DB(cMAE=8.19°)强于neural(22.77°)且互补(Spearman≈0,oracle hit@30=0.960)","不得写成真实观测反演成功率/无监督可选中正确一方"
Fig.5,main,P1,"conformal set_size 随几何收紧与负向观察","v0.4_results/13_l1d3_confidence_pdb/conformal/l1d3_conformal_summary.csv","v0.4_results/13_l1d3_confidence_pdb/figures/risk_coverage_curves.png","figures/copy_R119_risk_coverage_curves.png",optional,"现有risk-coverage图可用;建议补一张set_size(G1/G3/G5)柱状+coverage标注","set_size随几何收紧(321.8→126.2°),coverage近target=0.90","不得写成Bayesian posterior/最终概率校准;image_only欠覆盖须标注"
SI-1,SI,P1,"R113 B6 single-frame 判据轴闭口证据链","v0.4_results/10_b6_circular_regression_fix01/b6_foldmatched_vs_p1a_best.csv; b6_yawblock_stratified_best.csv",none,no,yes,"需新绘或表:fold-matched circular regression vs P1-A cMAE对照;或直接用表格代图","circular regression改善image/joint cMAE但yaw外推仍坍缩","不得写成光度无用/图像无姿态信息"
SI-2,SI,P1,"R115 P-EXT yaw-block stress test 仍坍缩","v0.4_results/11_l1m2_multigeometry_ocs/l1m2_pint_vs_pext_ocs_only.csv",none,no,yes,"需新绘:P-INT vs P-EXT cMAE 并列条形,显示P-EXT三几何均≈150°","P-EXT strict extrapolation仍坍缩,不能替代主线协议","不得写成yaw-block外推已解决"
SI-3,SI,P1,"R117 M-roll ±15/±30 边界探针","v0.4_results/12_l1m3_degraded_mroll/mroll/mroll_metrics_summary_best.csv; mroll/mroll_roll_sensitivity_summary.md","(mroll_eval_results.json含原始)",none,yes,"需新绘:roll∈{0,±15,±30}的cMAE/hit@30曲线(G1,G5);数据在CSV/JSON","±15° roll未直接推翻fixed-roll,±30°明显敏感","不得写成roll-aware能力/三轴姿态反演"
SI-4,SI,P2,"R119 hard-case index 与 P-INT-hard 候选定义","v0.4_results/13_l1d3_confidence_pdb/hardcases/l1d3_hardcase_index.csv; hardcases/l1d3_hardcase_summary.md; hardcases/l1d3_recommended_pinthard_design.md",none,no,yes,"需新绘:五类hard-case计数柱状(1231行);或表格代图","hard-case index是下一阶段候选输入五类分布","不得写成阶段门放行/已启动新训练"
SI-5,SI,P0,"数据/代码/结果路径 manifest","v0.4_results/14_route1c_stage_results_pack/audit/route1c_stage_results_manifest.csv",none,no,no,"直接用manifest表格,无需作图","可复查路径索引","不适用"
SI-x1,SI,P2,"neural_vs_pdb error scatter (可选补充)","v0.4_results/13_l1d3_confidence_pdb/consistency/l1d3_neural_pdb_joined_per_attitude.csv","v0.4_results/13_l1d3_confidence_pdb/figures/neural_vs_pdb_error_scatter.png","figures/copy_R119_neural_vs_pdb_error_scatter.png",optional,"现有散点图可直接作为互补性SI补充","neural与P-DB误差近不相关(互补)","不得写成两者可无监督融合已实现"
SI-x2,SI,P2,"confidence decile error (可选补充)","v0.4_results/13_l1d3_confidence_pdb/consistency/l1d3_confidence_deciles.csv","v0.4_results/13_l1d3_confidence_pdb/figures/confidence_decile_error.png","figures/copy_R119_confidence_decile_error.png",optional,"现有图支撑neural margin区分度弱的负向观察","neural margin置信区分度弱(risk-coverage近平坦)","不得写成选择性预测强可用"
