redline,status,detail
只做 phase63/L1-G1 单几何,PASS,无多几何渲染
只做 P1 smoke 96 单位,PASS,"96 渲染单位, 8 非零 roll × 12 seed"
未训练/无 roll-aware 训练,PASS,无训练脚本调用
未改旧脚本,PASS,"仅新增派生 wrapper, driver 只读复用"
未改旧结果目录 10-18,PASS,输出仅写 19 号包
roll=0 未重渲,PASS,roll=0 复用 01_fullrun
未改姿态网格/OBS_GEOMETRIES/split/backbone/超参,PASS,wrapper 仅覆盖姿态子集与输出目录
未启动 P2/P3/P4,PASS,仅 P1
未启动 R128/路线二三四/T3/L2,PASS,无相关调用
未写成果区/未生成Codex审阅/未改CLAUDE.md,PASS,输出限 19 号包 + 002 报告
最亮姿态未写成最优反演姿态,PASS,"summary 明确 brightness≠information, smoke级"
未声称真实反演系统,PASS,model-known simulated smoke
