candidate_id,region,role,p4_plan_role,yaw_deg,pitch_deg,grid_type,ocs_mean,brightness_rank_p3,info_rank_p3,neighbor_contrast_mean,roll_sensitivity_score,any_glint,any_saturation,glint_saturation_risk,image_usable_all,p4_planning_utility_score,observation_recommendation
C01,R1_high_info,high-info-roll-sensitive,high-info-roll-sensitive,247.5,+37.5,half2p5,4.860e-02,39,7,1.114,3.804,1,1,HIGH,1,0.4617,首选高信息观测姿态；注意glint/saturation
C02,R1_high_info,high-info-roll-sensitive,high-info-roll-sensitive,247.5,+40.0,half2p5,4.818e-02,45,8,1.111,3.803,1,1,HIGH,1,0.4599,roll敏感性极强；信息峰稳定；注意风险
C03,R1_high_info,high-info-roll-sensitive,high-info-roll-sensitive,247.5,+35.0,half2p5,4.862e-02,38,9,1.100,3.726,1,1,HIGH,1,0.4519,roll敏感性强；可与C01/C02配合使用
C04,R1_high_info,high-info-roll-sensitive,high-info-roll-sensitive,247.5,+32.5,half2p5,4.856e-02,40,10,1.085,3.736,1,1,HIGH,1,0.4475,高信息区内偏低pitch；roll仍敏感
C05,R1_high_info,high-info-roll-sensitive,high-info-roll-sensitive,247.5,+30.0,half2p5,4.795e-02,47,13,1.076,3.692,1,1,HIGH,1,0.4406,R1区低pitch边界；roll敏感度稍降
C06,R1_high_info,high-info-roll-sensitive,high-info-roll-sensitive,245.0,+37.5,half2p5,4.738e-02,49,18,1.059,3.788,1,0,MEDIUM,1,0.4405,glint=1但saturation=0；风险稍低
C07,R1_high_info,high-info-roll-sensitive,high-info-roll-sensitive,245.0,+35.0,integer5,4.805e-02,46,24,1.041,3.853,1,1,HIGH,1,0.4395,P2整数点验证；roll_sens最高3.85
C08,R1_high_info,high-info-roll-sensitive,high-info-roll-sensitive,245.0,+32.5,half2p5,4.843e-02,42,26,1.027,3.855,1,1,HIGH,1,0.4353,info_rank=26但roll_sens极高；高信息边界
C09,R4_bright_info_boundary,bright-info-tradeoff,bright-info-tradeoff,155.0,+20.0,integer5,7.007e-02,31,1,1.198,0.110,0,0,LOW,1,0.4268,亮-信息折中首选；info_rank=1且无glint/saturation风险
C10,R4_bright_info_boundary,bright-info-tradeoff,bright-info-tradeoff,152.5,+20.0,half2p5,9.060e-02,24,11,1.084,0.083,0,0,LOW,1,0.4150,亮-信息折中备选；brightness更高但info稍低
C11,R3_low_info_connectivity,low-info-negative-control,low-info-negative-control,57.5,+62.5,half2p5,2.949e-02,80,39,0.901,1.879,1,0,MEDIUM,1,0.2370,低信息区负面对照；连通性=0.60
C12,R3_low_info_connectivity,low-info-negative-control,low-info-negative-control,55.0,+60.0,integer5,3.289e-02,72,48,0.814,2.154,1,0,MEDIUM,1,0.2307,低信息区负面对照（P2整数点验证）
C13,R2_control,dark-neutral-control,dark/neutral-control,285.0,-85.0,integer5,2.291e-02,101,87,0.516,1.070,1,0,MEDIUM,1,0.0454,dark对照；降权；不作P4主规划落点
C14,R2_control,dark-neutral-control,dark/neutral-control,280.0,-85.0,integer5,2.314e-02,100,91,0.510,1.027,1,0,MEDIUM,1,0.0409,dark对照；降权
C15,R5_control,dark-neutral-control,dark/neutral-control,210.0,-5.0,integer5,1.926e-02,105,102,0.165,0.498,1,0,MEDIUM,1,-0.1150,neutral对照；utility负值；仅作背景参照
C16,R5_control,dark-neutral-control,dark/neutral-control,210.0,-10.0,integer5,1.963e-02,104,101,0.168,0.440,1,0,MEDIUM,1,-0.1173,neutral对照；utility负值；仅作背景参照
NOTE-BRIGHT-CAUTION,R4_bright_cluster,bright-but-low-info-caution,N/A,147.5,+12.5,half2p5,1.98e-01,1,104,N/A,N/A,N/A,N/A,HIGH,1,N/A,最亮点（brightness_rank=1/107但info_rank=104/107）；不可作最优观测姿态；glint/saturation风险高；不列为P4主落点
