geom,degrade_level,query_split,similarity,template_mode,record_id,yaw_true,pitch_true,top1_yaw_pred,top1_pitch_pred,top1_yaw_err,top1_pitch_err,nearest_distance,margin,topk10_idx
G1,clean,val,neg-L2,matched-degraded,G1_yaw285_pitch+080,285.0,80.0,280.0,90.0,5.0,10.0,0.0,0.0,264;1711;574;1165;1998;1766;1713;267;843;143
G1,clean,val,neg-L2,matched-degraded,G1_yaw200_pitch+080,200.0,80.0,105.0,40.0,95.0,40.0,0.0,0.0,903;1264;184;2024;1567;1673;462;1377;582;1927
G1,clean,val,neg-L2,matched-degraded,G1_yaw345_pitch-045,345.0,-45.0,285.0,-15.0,60.0,30.0,0.0,0.0,654;363;370;687;1289;824;279;1820;1360;876
G1,clean,val,neg-L2,matched-degraded,G1_yaw000_pitch-090,0.0,-90.0,350.0,30.0,10.0,120.0,0.0,0.0,1910;714;1888;1985;2022;449;1329;393;268;1022
G1,clean,val,neg-L2,matched-degraded,G1_yaw160_pitch+025,160.0,25.0,220.0,5.0,60.0,20.0,0.0,0.0,1479;2067;221;2071;2087;1126;1970;1658;1163;531
G1,clean,val,neg-L2,matched-degraded,G1_yaw315_pitch+045,315.0,45.0,200.0,70.0,115.0,25.0,0.0,0.0,118;1829;1060;1121;139;2058;522;12;471;1681
G1,clean,val,neg-L2,matched-degraded,G1_yaw160_pitch-035,160.0,-35.0,100.0,10.0,60.0,45.0,0.0,0.0,1337;1073;1977;502;731;760;193;771;1343;2086
G1,clean,val,neg-L2,matched-degraded,G1_yaw180_pitch+000,180.0,0.0,270.0,-60.0,90.0,60.0,0.0,0.0,1028;1775;2001;1331;469;50;1105;1610;666;1235
G1,clean,val,neg-L2,matched-degraded,G1_yaw150_pitch-050,150.0,-50.0,325.0,-75.0,175.0,25.0,0.0,0.0,1838;969;347;1319;1365;1170;899;288;997;1865
G1,clean,val,neg-L2,matched-degraded,G1_yaw035_pitch+085,35.0,85.0,255.0,90.0,140.0,5.0,0.0,0.0,1942;1621;1120;74;1113;1406;1071;2061;371;71
G1,clean,val,neg-L2,matched-degraded,G1_yaw125_pitch-035,125.0,-35.0,125.0,-70.0,0.0,35.0,0.0,0.0,552;412;368;1344;1568;2077;1820;2060;279;929
G1,clean,val,neg-L2,matched-degraded,G1_yaw280_pitch+075,280.0,75.0,115.0,10.0,165.0,65.0,0.0,0.0,1364;765;232;2007;277;160;854;1906;1446;1450
G1,clean,val,neg-L2,matched-degraded,G1_yaw280_pitch-025,280.0,-25.0,345.0,15.0,65.0,40.0,0.0,0.0,1568;2077;2060;929;552;412;368;1344;1820;279
G1,clean,val,neg-L2,matched-degraded,G1_yaw045_pitch+080,45.0,80.0,230.0,-80.0,175.0,160.0,0.0,0.0,941;209;540;287;44;2082;1703;426;129;825
G1,clean,val,neg-L2,matched-degraded,G1_yaw185_pitch-010,185.0,-10.0,295.0,75.0,110.0,85.0,0.0,0.0,393;268;1022;1541;1974;1888;714;1799;1910;1985
G1,clean,val,neg-L2,matched-degraded,G1_yaw005_pitch+015,5.0,15.0,5.0,30.0,0.0,15.0,0.0,0.0,709;1270;789;1900;1981;1125;2069;1572;1356;611
G1,clean,val,neg-L2,matched-degraded,G1_yaw255_pitch-030,255.0,-30.0,315.0,-85.0,60.0,55.0,0.0,0.0,124;1002;1562;170;305;1339;625;130;1167;897
