file,type
CLAUDE.md,context
04_四路线分工区/02_三轴小项目_最亮构型与观测规划/00_路线冻结文件区/01_三轴小项目_最亮构型与观测规划指导文件.md,spec
04_四路线分工区/02_三轴小项目_最亮构型与观测规划/01_成果区/00_当前主用成果/05_三轴小项目最亮构型与光路解释技术路线_R144依据.md,spec
04_四路线分工区/02_三轴小项目_最亮构型与观测规划/04_Codex审阅/R139_Codex_审阅_005不通过_旧P4需按最亮构型光路机制返工.md,codex
04_四路线分工区/02_三轴小项目_最亮构型与观测规划/04_Codex审阅/R140_Codex_任务单_P4PHYS最亮构型物理光路归因长程任务.md,codex
04_四路线分工区/02_三轴小项目_最亮构型与观测规划/04_Codex审阅/R141_Codex_任务单_P4PHYS-A_top1与roll局部确认.md,task
04_四路线分工区/02_三轴小项目_最亮构型与观测规划/04_Codex审阅/R142_Codex_审阅_R141讨论稿部分采纳但不替代006A执行.md,codex
04_四路线分工区/02_三轴小项目_最亮构型与观测规划/04_Codex审阅/R143_Codex_规划_R141_R142后固定几何最亮姿态确认执行方案.md,codex
04_四路线分工区/02_三轴小项目_最亮构型与观测规划/04_Codex审阅/R144_Codex_技术路线_三轴小项目最亮构型与光路解释.md,codex
04_四路线分工区/02_三轴小项目_最亮构型与观测规划/04_Codex审阅/R145_Codex_长任务提示词_执行R141生成23A006A.md,task_prompt
