字段名,字段类型,单位约定,必需性,适用阶段,说明,示例值
geometry_id,string,-,必需,S2-S5,几何编号,g01
geometry_label,string,-,必需,S1-S5,几何标签,phase63_backscatter
phase_angle_deg,float,度,必需,S2-S5,相位角0-180度,63.0
sun_direction_I_x,float,无单位,必需,S2-S5,太阳方向I系x分量(归一化),1.0
sun_direction_I_y,float,无单位,必需,S2-S5,太阳方向I系y分量,0.0
sun_direction_I_z,float,无单位,必需,S2-S5,太阳方向I系z分量,0.0
det_direction_I_x,float,无单位,必需,S2-S5,观测方向I系x分量(归一化),0.454
det_direction_I_y,float,无单位,必需,S2-S5,观测方向I系y分量,0.891
det_direction_I_z,float,无单位,必需,S2-S5,观测方向I系z分量,0.0
range_km,float,千米,必需,S2-S5,目标-观测者距离(仅用于星等换算),36000.0
yaw_deg,float,度,必需,S1-S5,偏航角0-360度,300.0
pitch_deg,float,度,必需,S1-S5,俯仰角-90至90度,15.0
roll_deg,float,度,必需,S1-S5,滚转角0-360度,0.0
total_ocs_model,float,当前模型输出值,必需,S1-S5,含遮挡总OCS,14.823573
ocs_jinshuzhuti_model,float,当前模型输出值,必需,S1-S5,金属主体OCS,14.814768
ocs_taiyangnengban_model,float,当前模型输出值,必需,S1-S5,太阳能板OCS,0.002615
ocs_yinshenban_model,float,当前模型输出值,必需,S1-S5,遮蔽板OCS,0.006190
pct_jinshuzhuti,float,0-1,必需,S1-S5,金属主体占比,0.9994
pct_taiyangnengban,float,0-1,必需,S1-S5,太阳能板占比,0.0002
pct_yinshenban,float,0-1,必需,S1-S5,遮蔽板占比,0.0004
occlusion_ratio_percent,float,0-100,必需,S1-S5,遮挡率(%),52.98
search_stage,string,-,必需,S1-S5,搜索阶段标识,S3_roll_scan
candidate_source,string,-,推荐,S1/S3-S5,候选来源标识,L1_total_ocs
data_source,string,-,必需,S1-S5,数据口径标识,face-center (legacy)
source_file,string,-,推荐,S1,数据来源文件路径,../../90_旧结构与支撑材料归档/04_STL实验判断/outputs/phase63_topk_brightness.csv
script_name,string,-,推荐,S1-S5,生成该结果的脚本名,a6_rerun_phase63.py
run_id,string,-,推荐,S2-S5,运行时间戳或唯一ID,20260609_143022
code_version,string,-,可选,S2-S5,代码版本或git commit hash,ocs_core.py@2026-05-28
mechanism_label,string,-,推荐,S4-S5,机制标签,metal_specular
dominant_component,string,-,推荐,S4-S5,主导部件,jinshuzhuti
dominant_component_fraction,float,0-1,推荐,S4-S5,主导部件占比,0.9994
roll_sensitivity_ratio,float,-,推荐,S3-S5,roll敏感度(max_OCS/min_OCS),1.05
peak_fwhm_yaw_deg,float,度,推荐,S4-S5,yaw方向峰宽FWHM,8.5
peak_fwhm_pitch_deg,float,度,推荐,S4-S5,pitch方向峰宽FWHM,6.2
peak_fwhm_roll_deg,float,度,推荐,S4-S5,roll方向峰宽FWHM,180.0
is_near_halfvector,boolean/null,-,推荐,S4-S5,是否接近half-vector镜面条件(可为null),null
mechanism_notes,string,-,可选,S4-S5,机制简短说明,金属主体镜面主导峰宽窄遮挡率低
delta_mag_vs_reference,float,mag,可选,S1-S5,相对参考姿态的星等差,-7.948
reference_attitude_id,string,-,可选,S1-S5,参考姿态标识,median_ocs
reference_definition,string,-,可选,S1-S5,参考定义说明,phase63 roll=0条件下中位OCS姿态
ocs_max_over_roll,float,当前模型输出值,推荐,S3,roll扫描中最大OCS,14.950
ocs_min_over_roll,float,当前模型输出值,推荐,S3,roll扫描中最小OCS,14.200
roll_at_max_ocs,float,度,推荐,S3,最大OCS对应的roll值,25.0
roll_sensitivity_flag,string,-,推荐,S3,roll敏感度标记,low
refine_direction,string,-,推荐,S4,局部加密方向标识,yaw
base_yaw,float,度,推荐,S4,局部加密中心yaw,300.0
base_pitch,float,度,推荐,S4,局部加密中心pitch,15.0
base_roll,float,度,推荐,S4,局部加密中心roll,0.0
orbit_context,string,-,可选,S2-S5,轨道语境,GEO_nominal
scenario_label,string,-,可选,S2-S5,场景标签,zenith_observation
legacy_geometry_label,string,-,可选,S2-S5,对应旧几何标签,phase63_backscatter
collection_tag,string,-,可选,S2-S5,集合标签,G1_coarse
