seed_id,record_id,yaw,pitch,category,source_file,key_metric,why_roll_extend,suggested_roll_range,risk_flag
bright-seed__yaw145_pitch+015,yaw145_pitch+015,145.0,15.0,bright-seed,01_fullrun/postprocess (phase63),ocs_total=0.1779,最亮 fixed-roll 姿态；检验最亮点在 roll 扫描下是否迁移/是否 glint 风险,{-60..+60 step15},glint/saturation-check
bright-seed__yaw150_pitch+015,yaw150_pitch+015,150.0,15.0,bright-seed,01_fullrun/postprocess (phase63),ocs_total=0.1774,最亮 fixed-roll 姿态；检验最亮点在 roll 扫描下是否迁移/是否 glint 风险,{-60..+60 step15},glint/saturation-check
bright-seed__yaw150_pitch+010,yaw150_pitch+010,150.0,10.0,bright-seed,01_fullrun/postprocess (phase63),ocs_total=0.175,最亮 fixed-roll 姿态；检验最亮点在 roll 扫描下是否迁移/是否 glint 风险,{-60..+60 step15},glint/saturation-check
bright-seed__yaw145_pitch+010,yaw145_pitch+010,145.0,10.0,bright-seed,01_fullrun/postprocess (phase63),ocs_total=0.1736,最亮 fixed-roll 姿态；检验最亮点在 roll 扫描下是否迁移/是否 glint 风险,{-60..+60 step15},glint/saturation-check
bright-seed__yaw325_pitch-015,yaw325_pitch-015,325.0,-15.0,bright-seed,01_fullrun/postprocess (phase63),ocs_total=0.1667,最亮 fixed-roll 姿态；检验最亮点在 roll 扫描下是否迁移/是否 glint 风险,{-60..+60 step15},glint/saturation-check
bright-seed__yaw330_pitch-010,yaw330_pitch-010,330.0,-10.0,bright-seed,01_fullrun/postprocess (phase63),ocs_total=0.1663,最亮 fixed-roll 姿态；检验最亮点在 roll 扫描下是否迁移/是否 glint 风险,{-60..+60 step15},glint/saturation-check
bright-seed__yaw325_pitch-010,yaw325_pitch-010,325.0,-10.0,bright-seed,01_fullrun/postprocess (phase63),ocs_total=0.1661,最亮 fixed-roll 姿态；检验最亮点在 roll 扫描下是否迁移/是否 glint 风险,{-60..+60 step15},glint/saturation-check
bright-seed__yaw330_pitch-015,yaw330_pitch-015,330.0,-15.0,bright-seed,01_fullrun/postprocess (phase63),ocs_total=0.1654,最亮 fixed-roll 姿态；检验最亮点在 roll 扫描下是否迁移/是否 glint 风险,{-60..+60 step15},glint/saturation-check
dark-seed__yaw285_pitch-070,yaw285_pitch-070,285.0,-70.0,dark-seed,01_fullrun/postprocess (phase63),ocs_total=0.01063,最暗但非零姿态；检验低信号在 roll 下是否仍不可用,{-30..+30 step15},low-signal
dark-seed__yaw290_pitch-070,yaw290_pitch-070,290.0,-70.0,dark-seed,01_fullrun/postprocess (phase63),ocs_total=0.01068,最暗但非零姿态；检验低信号在 roll 下是否仍不可用,{-30..+30 step15},low-signal
