claim_id,verdict,statement,evidence_path,supporting_numbers,paper_scope,note
W1,writable,"model-known simulated 条件下,L1 多观测总光度向量含姿态(yaw)信息","11_l1m2_multigeometry_ocs/l1m2_gain_curve_G1_G3_G5.csv; 13_l1d3_confidence_pdb/pdb/l1d3_pdb_retrieval_summary.csv","OCS-only cMAE G5=22.77°; P-DB top1 hit@30 clean G5=0.949","main","限定 model-known simulated;非真实反演"
W2,writable,"OCS-only 多几何增益在 clean 与 mild/moderate degraded 下保持","11_l1m2_multigeometry_ocs/l1m2_gain_curve_G1_G3_G5.csv; 12_l1m3_degraded_mroll/degraded/l1m3_degraded_metrics_summary_best.csv","G5 cMAE clean/mild/moderate=22.77/27.83/38.46°","main","随退化优雅收缩;非真实鲁棒性完成"
W3,writable,"P-DB 检索提供非神经证据,说明 neural ocs_only 未充分利用光度信息","13_l1d3_confidence_pdb/consistency/l1d3_error_correlation_summary.csv","P-DB cMAE=8.19° vs neural=22.77°; Spearman≈0; oracle hit@30=0.960","main+SI","simulated template retrieval;oracle为上界"
W4,writable,"conformal set_size 随几何收紧,当前 split 下 uncertainty interval 与信息量一致","13_l1d3_confidence_pdb/conformal/l1d3_conformal_summary.csv","ocs_only clean α=0.10 set_size G1/G3/G5=321.8/245.7/126.2°; coverage≈0.90","main+SI","仅当前 simulated split;非最终概率校准"
W5,writable,"M-roll ±15° 未直接推翻 fixed-roll 结论,±30° 敏感","12_l1m3_degraded_mroll/mroll/mroll_metrics_summary_best.csv","G5 0°/±15°/±30° cMAE=8.68/17.5-19.7/33.0-28.7°","main+limitation","image_only zero-shot 边界探针"
W6,writable,"旧 single-frame 负结果为条件性负结果,非光度无用","10_b6_circular_regression_fix01/b6_foldmatched_vs_p1a_best.csv","image_only cMAE=60.273°(delta -21.167°)","SI+limitation","exact-bin过严;判据非主因"
W7,writable,"当前证据支持路线一 C 阶段性 Results 非正文材料整理","本证据包 14_route1c_stage_results_pack/","四链 R113/R115/R117/R119","process note","阶段性,非整体闭口"
W8,writable,"主线已从 single-frame 负结果转入 L1 多观测正结果与置信一致性证据链","01_成果区/00_当前主用成果/01_...执行框架_R113通过.md","-","main(motivation)","主线复位表述"
F1,forbidden,"真实未知目标姿态反演系统已经实现","-","-","-","仅 model-known simulated"
F2,forbidden,"真实望远镜验证 / field-proven / operational-ready","-","-","-","无任何真实观测验证"
F3,forbidden,"GEO 数据库有三轴姿态真值","01_成果区/.../01_...执行框架_R113通过.md(第7节)","-","-","GEO 无姿态真值,只可作光度锚点"
F4,forbidden,"P-EXT yaw-block 已解决","11_l1m2_multigeometry_ocs/l1m2_pint_vs_pext_ocs_only.csv","P-EXT cMAE≈146-157° 仍坍缩","-","strict extrapolation stress test 仍坍缩"
F5,forbidden,"joint 强互补性已证明","12_l1m3_degraded_mroll/degraded/l1m3_degraded_metrics_summary_final.csv","G5 joint moderate hit@30=0.189 检查点敏感","-","天花板+检查点敏感,未显现"
F6,forbidden,"Bayesian posterior 或最终概率校准已完成","13_l1d3_confidence_pdb/conformal/l1d3_conformal_summary.csv","-","-","posterior-like 仅工程候选分数;conformal仅simulated split"
F7,forbidden,"P-DB 是真实观测反演成功率","13_l1d3_confidence_pdb/pdb/l1d3_pdb_retrieval_summary.csv","-","-","model-known simulated template retrieval"
F8,forbidden,"选择性预测/置信排序已强可用","13_l1d3_confidence_pdb/consistency/l1d3_risk_coverage.csv","neural margin risk-coverage 近平坦","-","置信区分度弱,负向观察"
F9,forbidden,"路线一 C 整体闭口","-","-","-","当前非整体闭口点"
F10,forbidden,"三轴小项目已启动或完成","01_成果区/.../01_...执行框架_R113通过.md(第6节)","-","-","M-roll 非三轴替代;未启动"
F11,forbidden,"头A/头B 大合并裁决已完成","CLAUDE.md 红线","-","-","未放行"
F12,forbidden,"4维 per-part OCS 是现实主线输入","00_...single-frame负结果收口说明_R113通过.md","-","-","semi-oracle/diagnostic"
F13,forbidden,"image_only conformal 覆盖良好","13_l1d3_confidence_pdb/conformal/l1d3_conformal_summary.csv","image_only coverage≈0.83-0.85 欠覆盖","-","须写成分布/误差形态偏移,不淡化"
F14,forbidden,"T3/L2 光变正式训练 / 路线二三四扩展已启动","CLAUDE.md 红线","-","-","未放行"
