channel,config_name,fold,feature_dim,manifest,n_samples_recomputed,n_samples_target,recomp_yaw_acc,target_yaw_acc,recomp_pitch_acc,target_pitch_acc,recomp_yaw_cmae,target_yaw_cmae,pass_yaw_acc,pass_pitch_acc,pass_yaw_cmae,gate_pass
C2,baseline_4dim,0,4,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold0.json,555,555,0.0,0.0,0.027027027681469917,0.027027027681469917,75.60360431671143,75.60360431671143,True,True,True,True
C2,baseline_4dim,1,4,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold1.json,555,555,0.0,0.0,0.04324324429035187,0.04324324429035187,82.3243236541748,82.3243236541748,True,True,True,True
C2,baseline_4dim,2,4,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold2.json,518,518,0.0,0.0,0.019305018708109856,0.019305018708109856,117.87644386291504,117.87644386291504,True,True,True,True
C2,baseline_4dim,3,4,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold3.json,518,518,0.0,0.0,0.027027027681469917,0.027027027681469917,37.5,37.5,True,True,True,True
C2,baseline_4dim,4,4,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold4.json,518,518,0.0,0.0,0.011583011597394943,0.011583011597394943,132.95367240905762,132.95367240905762,True,True,True,True
C2,R_ratio_2d,0,2,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold0.json,555,555,0.0,0.0,0.018018018454313278,0.018018018454313278,62.01801776885986,62.01801776885986,True,True,True,True
C2,R_ratio_2d,1,2,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold1.json,555,555,0.0,0.0,0.027027027681469917,0.027027027681469917,89.38738822937012,89.38738822937012,True,True,True,True
C2,R_ratio_2d,2,2,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold2.json,518,518,0.0,0.0,0.03281853348016739,0.03281853348016739,98.00192832946777,98.00192832946777,True,True,True,True
C2,R_ratio_2d,3,2,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold3.json,518,518,0.0,0.0,0.021235521882772446,0.021235521882772446,37.5,37.5,True,True,True,True
C2,R_ratio_2d,4,2,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold4.json,518,518,0.0,0.0,0.028957528993487358,0.028957528993487358,133.8223934173584,133.8223934173584,True,True,True,True
C2,R_ratio_3d,0,3,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold0.json,555,555,0.0,0.0,0.019819820299744606,0.019819820299744606,49.42342281341553,49.42342281341553,True,True,True,True
C2,R_ratio_3d,1,3,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold1.json,555,555,0.0,0.0,0.036036036908626556,0.036036036908626556,94.10810470581055,94.10810470581055,True,True,True,True
C2,R_ratio_3d,2,3,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold2.json,518,518,0.0,0.0,0.04054053872823715,0.04054053872823715,104.29536819458008,104.29536819458008,True,True,True,True
C2,R_ratio_3d,3,3,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold3.json,518,518,0.0,0.0,0.025096524506807327,0.025096524506807327,37.5,37.5,True,True,True,True
C2,R_ratio_3d,4,3,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold4.json,518,518,0.0,0.0,0.009652509354054928,0.009652509354054928,116.47683143615723,116.47683143615723,True,True,True,True
C2,I_interpart_1d,0,1,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold0.json,555,555,0.0,0.0,0.030630631372332573,0.030630631372332573,90.38739204406738,90.38739204406738,True,True,True,True
C2,I_interpart_1d,1,1,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold1.json,555,555,0.0,0.0,0.0036036036908626556,0.0036036036908626556,88.21621894836426,88.21621894836426,True,True,True,True
C2,I_interpart_1d,2,1,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold2.json,518,518,0.0,0.0,0.04440154507756233,0.04440154507756233,134.8552131652832,134.8552131652832,True,True,True,True
C2,I_interpart_1d,3,1,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold3.json,518,518,0.0,0.0,0.0308880303055048,0.0308880303055048,106.5830135345459,106.5830135345459,True,True,True,True
C2,I_interpart_1d,4,1,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold4.json,518,518,0.0,0.0,0.025096524506807327,0.025096524506807327,118.86100769042969,118.86100769042969,True,True,True,True
C2,N_density_3d,0,3,D:\我的文件\研究生学术\光学项目\0506新\项目重启_v0.4_BlenderOCS\v0.4_results\03_training_baseline\e25_multifold_yawblock\split_manifest_circ_yawblock_fold0.json,555,555,0.0,0.0,0.045045044273138046,0.045045044273138046,106.59459114074707,106.59459114074707,True,True,True,True
